Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
BOOST Collaborative,https://www.crunchbase.com/organization/boost-collaborative,2007-01-01,year,1-10,,http://boostcollaborative.org,"Collaboration, Education, Training","San Diego, California, United States","BOOST Collaborative is an innovative hub focused on collaboration, lifelong learning, and social change.","982,077","1,314",,,,0,1,,100%,,"6,542,592",,
Nordic River,https://www.crunchbase.com/organization/textflow,2007-01-01,year,1-10,"Nordic River, the leading innovator in visual version management. Founded in 2006 and has developed TextFlow, TextFlow API and the CompareMyDocs.com website.  TextFlow makes it easy to review document versions simultaneously, and rapidly produce a final draft; allowing users to cut time with a tool that helps compare, recombine and even merge multiple versions of a document.  Based on the patent-pending WeaveSync technology - an indexing, matching, synchronization and presentation framework - TextFlow enables users to visually differentiate between multiple documents, allowing writers to work completely independent of one another, either online or offline, in a system of their choice, and when they want choosing when to contribute their work.",http://www.nordicriver.com,"Collaboration, Document Management, Enterprise Software, Software","Umeå, Vasterbottens Lan, Sweden",Nordic River develops visual version management software that enables editors to review document versions simultaneously.,"1,072,520",,,,,,,,,,,,
Xperscore,https://www.crunchbase.com/organization/xperscore,2007-01-01,year,11-50,"Xperscore is now Whoknows.com the leading automatic expertise discovery and collaboration platform.  Combining the power of collaboration and enterprise social business software; Xperscore's platform offers powerful API plugins and built-in connectors to over 73 software products, including Sharepoint, JiveSoftware, Yammer, Chatter and many more.",http://www.xperscore.com,"Collaboration, Enterprise Software, SaaS, Software","Mountain View, California, United States","Xperscore is an expertise discovery platform offering API plugins and built-in connectors for Sharepoint, Yammer, Chatter and more.","1,501,630",,,,,,,,,,,,
Ologeez,https://www.crunchbase.com/organization/ologeez,2007-01-01,year,1-10,"Peer-review literature search, recommendation engine and group collaboration for academics and industry professionals. Developed by a Stanford graduate student to help find more relevant papers for his Ph.D. research in genetics. Tied into the science literature database, PubMed, and through user contributed peer-reviewed papers, it makes finding and discussing papers a lot easier. Other academic and industry databases to follow. After developing the literature part, it was a natural progression to make a network for those using the site. Groups can be created to share publications, protocols, AJAX calendars, and create forum discussions. Local and University seminars and conferences can be uploaded and searched based on your academic interests. The site is free to use and free from advertising.",http://www.ologeez.org,"Collaboration, Education, Search Engine","Palo Alto, California, United States","Ologeez is a peer-review literature search, recommendation engine, and group collaboration for academics and industry professionals.","1,587,583",,,,,,,,,,,,
Intuitive Collaboration,https://www.crunchbase.com/organization/intuitive-collaboration,2007-01-01,year,,"At Intuitive Collaboration, actuaries and software developers work together to create intuitively usable enterprise applications. These web applications enable secure and comprehensible collaboration within a company or between a company and its clients.",http://www.intuitive-collaboration.com,"Apps, Collaboration, Enterprise, Software","Stafa, Zurich, Switzerland",Intuitive Collaboration is creates intuitively usable enterprise applications.,"1,775,044",31,,,,81,4,,0%,,"10,739,578",,
Induct,https://www.crunchbase.com/organization/induct,2007-01-01,year,101-250,,http://www.inductsoftware.com/,"Collaboration, Innovation Management, Meeting Software, Software Engineering","Oslo, Oslo, Norway",Induct is a digital platform that provides innovation management software that helps the company manage and collaborate on projects.,"1,800,627",,,,,,,,,,,,
digitalbucket.net,https://www.crunchbase.com/organization/digitalbucket,2007-01-01,year,11-50,"digitalbucket provides a scalable, reliable, fast and inexpensive platform to store and retrieve data, at any time, from anywhere on the web. digitalbucket uses Amazon's Simple Storage Service.",http://www.digitalbucket.net,"Collaboration, File Sharing, Web Hosting","Woodland Hills, California, United States","Digitalbucket is an online platform that enables individuals and businesses to store, share, and retrieve their data.","1,874,805",,,,,,,,,,,,
Spendji,https://www.crunchbase.com/organization/spendji,2007-01-01,year,,"Spendji enables consumers and groups to plan their spending and manage the logistics for activities, events and projects online. Individuals, families, friends, groups and organizations, including small businesses and nonprofits, can all use Spendji for budgeting and managing activities. Uses include planning reunions, trips, vacations, company events, college activities, weddings, school functions, household projects, community gatherings and group meet-ups. A focus on budgeting and spending is central to Spendji.  Users get a head start on planning activities by receiving recommendations based upon the collective experience of the Spendji community. These suggestions improve over time, providing increasingly accurate budget guidance as more users are added.  Using proprietary algorithms, Spendji can identify best spending and planning practices and actively promote them to the user base. Spendji provides a collaborative environment where multiple participants can aid in the planning process.  Through both in-house data and integration with third-party APIs, the site helps users determine what their needs and expenses will be for the activity.  Prices for goods and travel can be researched directly from the site and expenses can be recorded.  Payments functionality is also provided via Amazon Payments to help users collect and disburse money as required. In addition to its budgeting core, Spendji provides a suite of complementary planning tools. These include message boards, to-do lists, group polls, document sharing, calendar, alerts and reminders.",http://www.spendji.com,"Career Planning, Collaboration, Events, Finance, Private Social Networking, Project Management, Small and Medium Businesses","Royal Oak, Michigan, United States","Spendji is an online finance management platform to plan and manage expenditure on activities, events, and projects.","1,906,850",,,,,,,,,,,,
FairSoftware,https://www.crunchbase.com/organization/fairsoftware,2007-01-01,year,,"FairSoftware is the place to start and grow a virtual online business. It only takes a few clicks for software developers and website publishers to incorporate, hire and share revenue with other project members. FairSoftware is powered by the ""Software Bill Of Rights,"" a legally sound contract in which virtual ""shares"" represent decision-making and revenue-sharing rights. This new virtual share concept makes it easy to give shares to anyone who helps out in some way, large or small. People are hired with shares instead of cash, growing a team that is committed to the project's success. It costs nothing to incorporate or issue shares. Bloggers, designers and developers can use FairSoftware to grow their business by working together online, without having to deal with the complexity and limitations of traditional corporations.",http://www.fairsoftware.net,"Collaboration, Crowdsourcing, File Sharing, Internet, Software","Mountain View, California, United States",FairSoftware is an online platform for software developers and website publishers to start and grow a virtual online business.,"1,932,469",,,,,,,,,,,,
RZONZ,https://www.crunchbase.com/organization/rzonz,2007-01-01,year,1-10,"RZONZ, was founded five years ago to create private educational technology websites designed to teach younger students Internet Safety, online - SAFELY. As students became more techno-savvy so did RZONZ with the addition of a cloud storage function so students and teachers could store and access their data, anytime, anywhere. (no more ""my dog ate my homework"") Thanks to a partnership with ZOHO, the offering grew to include an office suite adding the function of generating data to the cloud storage, educational technology solution. And, of course, as the future continues to impact educational technology changes to RZONZ will continue as well. We are especially excited about eBooks, ePortfolios, and the flipped classroom experience.",http://rzonz.com,"Cloud Computing, Collaboration, EdTech, Education, Software","San Francisco, California, United States",Private Educational Cloud Social Network,"2,047,256",,,,,,,,,,,,
Gloomshade - Remote Media Groups,https://www.crunchbase.com/organization/gloomshade,2007-01-01,year,1-10,Gloomshade is represented both as a group of remote collaborators (Remote Media Groups) and an online tool for organization (FERNUT).,http://www.gloomshade.com,"Collaboration, Software","San Francisco, California, United States",Gloomshade is a remote digital design company contracted by businesses for both digital and physical artwork.,"2,175,620",,,,,,,,,,,,
Wokai.org,https://www.crunchbase.com/organization/wokai-org,2007-01-01,year,11-50,,http://wokai.org,Collaboration,"Oakland, California, United States",Wokai is a micro-finance organisation in the process of closing down operations because of unexpected funding road blocks.,"2,176,129",,,,,,,,,,,,
Sococo,https://www.crunchbase.com/organization/sococo,2007-01-04,day,11-50,"Sococo is the online workplace where distributed teams come to work together each day, side-by-side. No matter where team members might be. Down the hall, across campus, or halfway around the world – working in your organization’s online office is even more productive than being on the same floor or in the same room.",https://www.sococo.com/,"Collaboration, SaaS, Virtual Workforce","Boston, Massachusetts, United States","Sococo is the online workplace where distributed teams come to work together each day, side-by-side.","27,056","453,072","263,804.17",271.99%,68.28%,"2,509",1.4,2.5%,75.7%,0.48%,"194,824","-268,928",-57.99%
Arioflow,https://www.crunchbase.com/organization/arioflow,2007-01-15,day,11-50,Arioflow is a global provider of cloud-based collaborative field asset inspection apps.,http://www.arioflow.com,"Cloud Data Services, Collaboration, Construction, Software","Nantes, Pays de la Loire, France",Arioflow is a global provider of cloud-based collaborative field asset inspection apps.,"870,851",,,,,,,,,,,,
Tumblr,https://www.crunchbase.com/organization/tumblr,2007-02-01,day,1001-5000,"Tumblr is a microblogging platform and social networking website allowing users to post multimedia and other content to a short-form blog. Its users also have the ability to follow other users' blogs, as well as make their blogs private. Much of the Tumblr’s features are accessed from the dashboard interface, where the option to post content and posts of followed blogs appear. This media network is powered by an army of independent creators and is the home to an audience of more than 400 million unique visitors. Founded by David Karp in 2007, Tumblr is headquartered in New York. The company was acquired by Yahoo in 2013.",https://www.tumblr.com/explore/trending?source=homepage_explore,"Blogging Platforms, Collaboration, Social Media, Social Network","New York, New York, United States","Tumblr is a microblogging platform and social networking website, enables users to post multimedia and other content to a short-form blog.","26,931","323,860,824","306,835,054.67",-3.27%,2.91%,"1,167",3.05,-3.94%,56.77%,-0.4%,256,10,4.07%
Investing Minds,https://www.crunchbase.com/organization/investing-minds,2007-02-01,day,1-10,"An online investment community where members contribute opinions and advice on stocks, bonds, mutual funds, financial planning, estate planning, building wealth and the ways of Wall Street. InvestingMinds is a collaborative community of investors with the common goal of enhancing overall investment performance by engaging the collective wisdom of the group for the sharing and exchange of investment ideas and expertise. The goal is to create an online resource and user experience that encourages the interactive exchange of information and ideas among the community of networked investors. Some highlights of the site include: - An Investor Community that allows you to create a personal profile, meet and communicate with other members, form investment clubs, read blogs and more. - An area to Research companies of interest and set up your personalized investment portfolio. - Track portfolio holdings in My Portfolio.  Here you can create a Watch List, upload brokerage holdings, track your investments, and locate other members with similar investment holdings. - A Resource Center that allows you to explore and contribute to a list of investing terms, as well as read book reviews and articles on various financial topics.",http://www.investingminds.com,"Collaboration, Finance, Financial Services, Stock Exchanges, Web Hosting","Boston, Massachusetts, United States","Investing Minds is an online investment community where members contribute opinions and advice on stocks, bonds, mutual funds and more.","1,063,430",,,,,,,,,,,,
Kompoz,https://www.crunchbase.com/organization/kompoz,2007-02-08,day,1-10,"Kompoz is an online social network designed for music lovers to create songs with others from around the world. Kompoz is a community site with strong social networking features pinned around distributed music creation. Meaning this: songs are created in layers -- drums, bass, guitar, keyboards, vocals, etc. But very few people play all of these instruments, so it's hard to create a complete song unless you're part of a band. Kompoz solves that problem. We provide the platform to create songs with a bass player in Sweden, a drummer in Ohio, and a guitar player in Kalamazoo. Kompoz members span over 80 countries and all 24 time-zones. The world is your virtual on-demand band.",http://kompoz.com,"Collaboration, Music","Miami, Florida, United States","Kompoz is an online platform for crowd-sourcing music creation, collaborate with musicians and friends.","132,839","877,902","934,486.17",190%,60.54%,"2,657",22.8,21.25%,14.1%,-35.08%,"120,949","-128,024",-51.42%
Comindwork,https://www.crunchbase.com/organization/comindwork,2007-02-10,day,11-50,"Online environment and tools for knowledge workers collaboration in projects. Comindwork is an online environment and set of tools for effective and convenient collaborative work of knowledge workers. It contains many Web 2.0 (Enterprise 2.0) tools, which are easily mastered by new users: wiki pages, blogs, tasks, documents, search, tags, associations etc. Comindwork also provides new ways to integrate these tools specifically for the tasks of project management and intensive collaboration.  What can I do with project in Comindwork? * Invite your project team and assign their project roles * Have informal discussion on project issues and ideas using project blog * Create your project milestones and responsible people * Define your tasks and update each task with comments as it progresses * Store project specifications, standards and conventions in wiki and create tag clouds * Upload all documents related to your project and manage it centrally * Track task time for client billing with the timesheets * Get notified by email when a case is assigned to you or when milestone is approaching * Monitor daily activities and personal contribution with history * Search for relevant information in your project tasks, milestones, blogs, wiki pages and comments * See comprehensive charts on your project status and progress * Update your project visibility settings and availability for external users and clients * Use RSS to subscribe to all project changes and be aware about the progress",http://www.comindwork.com,"Collaboration, Project Management, SaaS, Software","Chicago, Illinois, United States",Comindwork offers an online environment and a set of tools that help knowledge workers collaborate effectively and conveniently.,"342,921","1,653","59,785",-92.88%,29.47%,0,1,-44.15%,100%,71.03%,"5,573,220","4,205,590",307.51%
Mindomo,https://www.crunchbase.com/organization/mindomo,2007-02-19,day,1-10,"[Mindomo](http://www.mindomo.com) is the most advanced online mind mapping software.  Mindomo helps you acquire, develop and act on ideas and knowledge with intelligence. Collaborate with your team by sharing ideas and working together to achieve better results for your organization anytime, anywhere, from any device. The friendly interface allows team members to unleash their creativity by bringing their ideas to life on collaborative mind maps. Discover the hidden connections among ideas, in order to provide efficient solutions for complex problems. Mindomo is a complex application that provides platform flexibility, quick setup, fully developed feature set and a short learning curve. Generate professional presentations directly from your mind maps to present the details of your product launch or new product information successfully. Revise your mission and objectives by visualizing them on the fly together with your team. Quickly develop new ideas for achieving sustainable development in the long run and set the guidelines to take immediate action",http://www.mindomo.com,"Collaboration, Consulting, Enterprise Software, Software","Timisoara, Timis, Romania",Mindomo is a software company that provides collaborative mind mapping and visualizing tools.,"373,513","1,095,579","1,187,701",-2.72%,30.02%,680,1.99,-7.46%,63.08%,0.51%,"102,586","4,835",4.95%
Hitask,https://www.crunchbase.com/organization/hitask,2007-03-01,day,1-10,"Hitask is a unique project and task manager for teams. It helps to focus on team collaboration, getting tasks done and manage an entire project.",https://hitask.com,"Apps, Collaboration, Project Management, Software, Task Management","Houston, Texas, United States",Easy Project and Task Management for Teams,"266,604","20,999","19,411.5",0.75%,-13.59%,"1,304",1.52,-2.24%,74.63%,13.06%,"1,477,733","17,603",1.21%
UpDown,https://www.crunchbase.com/organization/updown,2007-03-12,day,1-10,"The UpDown is a new investing social network with a slightly different take on investment communities. Founded by three Harvard Business School students, UpDown users are able to invest a simulated portfolio starting with $1 million and are paid based on their ability to consistently out-perform the S&P 500. Also, those users who refer a friend pick up 10% of any earnings that friend achieves.  Beta launch took place in June 2007 and some members have been able to make thousands of dollars off the site. According to co-founder Michael Reich, the company's ultimate goal is to build up a group of users who consistently out-perform the major indices and then create an investment vehicle that mimics the behavior of those users. The challenge is to pinpoint a subset of users whose investment behavior is both trustworthy and scalable to large investments. As of April 2008, UpDown has more than 40 thousand registered users. The demographics aren't clear but seem to be heavily tilted towards students.",http://www.UpDown.com,"Collaboration, Financial Services, Social Media","Cambridge, Massachusetts, United States","UpDown, a virtual investing platform, allows investors to improve their skills through collaboration, competition and aggregated knowledge.","208,738","2,462",,38.24%,,0,1,0%,100%,0%,"4,713,176","-455,671",-8.82%
ActiveCollab,https://www.crunchbase.com/organization/activecollab,2007-04-01,day,11-50,"Most companies are founded before they launch their first product. Not A51. The open source version of Active Collab was launched back in summer 2006 as a side project of one by one of the founders. Although it had a lot of potential, Active Collab (as an open source project) consumed a huge amount of time without generating any income. A51 was registered in the spring of  2007 with the purpose to develop and support a commercial version of Active Collab, while keeping the core values – openness, flexibility and the option to host the system on your own server. ActiveCollab is now a full-time job that employs more than 20 people. We believe that projects succeed thanks to good communication and execution rather than charts or reports. We are trying to implement that credo into our products daily and boost productivity worldwide.",https://www.activecollab.com,"Collaboration, Project Management, Software","Norfolk, Virginia, United States",ActiveCollab is the project management software that gives complete control over work.,"183,766","882,972","1,000,911.83",-20.35%,11.17%,"1,393",2.97,0.1%,42.92%,14.58%,"120,417","21,941",22.28%
Dopetracks,https://www.crunchbase.com/organization/dopetracks,2007-04-01,day,1-10,"Dopetracks is an online music collaboration and promotion platform for hip hop Emcees and Producers. Producers upload original instrumental music. These beats then become available for Emcees looking to lay down a vocal. All of the vocal recording is done via the Dopetracks Studio - a flash-based audio recording engine. This collaboration is a track that can be doped, commented on, and shared via a social network widget. Users can challenge each other in virtual rap battles, add a verse to existing tracks and initiate user competitions. Dopetracks was designed to let budding bedroom Emcees and Producers have a shot at being heard by the world.",http://www.dopetracks.com,"Collaboration, Music, Online Portals","Van Nuys, California, United States",Dopetracks is an online music collaboration and promotion platform for hip hop Emcees and Producers.,"556,717",,,,,,,,,,,,
Acunote,https://www.crunchbase.com/organization/acunote,2007-04-01,month,11-50,"Acunote is a project management and Scrum software made by Pluron, Inc. (DBA Acunote), a web startup based in Silicon Valley.  Acunote provides companies with the ability to manage software development, online project management and IT project management for the whole company. It is fast and easy to use, shows actual progress, provides powerful analytics, works for the whole company as a unified project means of communication and collaboration tool and integrates well with existing tools.",http://www.acunote.com,"Collaboration, Project Management, Public Relations, Software","Foster City, California, United States",Acunote provides online project management and scrum software for enterprises.,"725,817",,,,,,,,,,,,
VestMatch,https://www.crunchbase.com/organization/vestmatch,2007-04-01,day,1-10,"VestMatch focuses on helping people save together to reach a financial goal. We give all people saving for the goal transparency of financial information and communication. VestMatch is a web-based service that works with any financial account at any bank or brokerage. If parents and grandparents are saving together for college, if parents want to create a matched savings program with their adult child, if grandparents want to transfer wealth while maintaining their own peace of mind about whether the money is being used appropriately -- for all these cases and more, VestMatch may be the right tool.",http://www.vestmatch.com,"Collaboration, Finance, Financial Services, FinTech","Foster City, California, United States",VestMatch focuses on helping people save together to reach a financial goal.,"1,160,500",,,,,,,,,,,,
MixedInk,https://www.crunchbase.com/organization/mixedink,2007-04-01,day,1-10,"MixedInk's platform allows massive groups to weave their ideas and opinions into a single text.  It combines the wiki concept with a democratic rating system like Digg's.  Larry Lessig recently called it ""compelling,"" and Craig Newmark said it ""could be a real step toward online democracy.""",http://www.mixedink.com,"Collaboration, Developer Tools, Enterprise Software","New York, New York, United States",MixedInk's platform allows massive groups to weave their ideas and opinions into a single text.,"1,504,326","7,504",,,,3,2,,0%,,"2,653,936",,
iBuddz,https://www.crunchbase.com/organization/ibuddz,2007-04-14,day,1-10,"iBuddz is a place to create, discover, play and share, within a social community of people who enjoy, make, promote, or sponsor music, films and videos.  The iBuddz technology combines the power of social networking with a rich media Web 2.0 portal technology.  Unlike traditional web portals, the iBuddz portal can produce a nearly infinite number of highly personalized, media driven, real-time social networking channels which provides a new user experience each time the user logs in. Each channel and the elements that make it up can be controlled and searched much like cable TV or XM Satellite stations by the communities as a whole or can be personalized by each individual within the community.   The iBuddz media portal can accomplish this because it is based on a revolutionary â€œVirtual Private Databaseâ€ and highly agile Web 2.0 interface technology. The Virtual Private Database, using nothing more that the user's log in, can provide a nearly infinite number of continuously changing, highly  personalized media-based experiences. Each channel can be controlled quickly to produce a new media-based experience.   Users can create projects to collaborate on the production of films, videos, movies or songs.  Fans can create projects for individual movies, videos, films, bands or artists they like. Artists, managers and producers can find crew members, sponsors, audiences or funding sources for their projects. Fans can find new bands, film, videos, movies and songs they like. iBuddz support the creation of private, public and pay-per-view channels. User can share their channels with over 64 other social networks from one single location and receive updates from them.  Interactions between fans, artists and their audiences are supported in real-time.  Artists and products can find our that audiences what and fan can find out what their favorite artists are doing as they are doing it. Features:  Create  Create your own personal channel to organize projects and collaborate on songs, scripts, movies and events. Get immediate audience feedback reviews on your material. Track what people are viewing and even ask them targeted questions and surveys to make your project even better.  Discover  Find, organize, play and share your favorite lists of movies, films, videos, songs, radio stations and concerts. Find and collaborate with your production team. Find distributors to help market your films, songs, videos or movies.  Play  Uses the Radio Browser, Artist Browser or Media Browser to find, create, share and play lists of your favorite movies, films, videos, songs, radio stations.  Share  Collaborate in real-time with a select community to help develop your project or projects. Use the Friend Finder to locate and connect with your friends all over the internet! With our Social Inviter, import and invite your friends, from over 45 different sources, like Facebook, Twitter, Gmail automatically.  Promote  Connect with others, to find events, sponsors and marketing opportunities, to help promote your work and yourself. Join with others in the community, to create either local or on-line events, to help further your projects. Use the Social Network tool to keep in touch with, build excitement and market you music, videos, films or movies to over 64 social networking sites.",http://www.ibuddz.com,"Art, Broadcasting, Collaboration, Events, Film, Internet, Music, Real Time, Video","Sunnyvale, California, United States",Social Media & Events,"1,996,957",,,,,,,,,,,,
GoodData,https://www.crunchbase.com/organization/good-data,2007-05-01,day,251-500,"GoodData provides the platform and expertise for enterprises to create Smart Business Applications that harness your existing data to help you automate, recommend and take better business actions faster and with more reliability. They drive competitive value, performance, and profit by significantly enhancing the data-driven business processes across the enterprise and its business ecosystem by bringing analytics to the point-of-work. Their clients include enterprises like Penton that need to deliver revenue-generating data products to their clients and software companies like Zendesk that market their own Smart Business Applications using GoodData. It was founded in 2007 and headquartered in San Francisco, California.",http://www.gooddata.com,"Analytics, Business Intelligence, Collaboration, Enterprise Software, SaaS, Software","San Francisco, California, United States","GoodData is an analytics company that provides access to business reporting, dashboards, and ad hoc analytics to customers.","2,484","164,511","105,260.33",42.78%,334.33%,"1,164",2.71,43.95%,46.78%,-37.69%,"392,264","-89,520",-18.58%
Adimab,https://www.crunchbase.com/organization/adimab,2007-05-01,day,101-250,"Adimab's integrated antibody discovery and optimization platform provides unprecedented speed from antigen to purified, full-length human IgGs. Adimab offers fundamental advantages by delivering diverse panels of therapeutically relevant antibodies that meet the most aggressive standards for affinity, epitope coverage, species cross-reactivity and expressability. Adimab enables its partners to rapidly expand their biologics pipelines through a broad spectrum of technology access arrangements.",http://www.adimab.com,"Biotechnology, Collaboration, Health Care, Therapeutics","Lebanon, New Hampshire, United States","Adimab is an antibody discovery and optimization platform, developing full-length human Immunoglobulin Gs.","117,264","8,626","3,625.83",95.69%,-90.91%,0,1.04,-21.8%,97.87%,46.8%,"2,427,022","-1,169,801",-32.52%
authorSTREAM.com,https://www.crunchbase.com/organization/authorstream,2007-05-01,day,11-50,"authorSTREAM is a free platform for sharing PowerPoint presentations on the Internet. authorSTREAM makes it easier for users to share their PowerPoint slideshows through blogs, websites, on YouTube and even via iPods. After creating a multimedia presentation in Microsoftâ€™s PowerPoint presentation software, users can upload presentations to authorSTREAM, which get converted to the Flash format. A Presentation uploaded to authorSTREAM shows up on a unique URL and is available in a Flash player. Users can get unique code of the Flash presentation to embed in blogs and websites. The embedded presentation plays as a Flash slideshow and viewers do not need to have PowerPoint software. Every presentation also provides users the option to share the presentation through e-mail. Users have no limit to the number of presentations they can upload. If users set up 'Rehearsed Timings' or have recorded audio 'Narrations' in their PowerPoint file, it would automatically be available in a video format (MP4) that can be uploaded and shared on YouTube. Presentations can also be downloaded in itunes. Viewers can then sync their iPods and have presentations available even when they are not connected to the Internet. Viewers can download PowerPoint files if their respective authors have given their permission to do so. Presentation owners also have control on who can view the uploaded PowerPoint. While uploading presentations, users can use the publishing settings to control who can see it on authorSTREAM. authorSTREAM protects private content, and makes sure that it is seen only by owners and the people they select. Private presentations do not appear in search results or a user's public profile.",http://www.authorstream.com,"Collaboration, Presentations, Software","Mohali, Punjab, India","authorSTREAM offers a web-based platform that enables its users to upload, discover, and share PowerPoint presentations.","206,948","146,329","145,832.5",51.58%,10.76%,947,3.91,15.18%,45.61%,-22.6%,"424,277","-118,040",-21.77%
GradeMate,https://www.crunchbase.com/organization/grademate,2007-05-01,day,1-10,"GradeMate is a free online organizer for teachers and students to keep track of their courses â€” from grades and assignments to files, notes, and discussions.",http://mygrademate.com,"Collaboration, Education","New York, New York, United States",Online organizer for students & teachers,"1,028,927",,,,,,,,,,,,
"CodeGlide, S.A.",https://www.crunchbase.com/organization/codeglide,2007-05-01,day,1-10,"CodeGlide develops a suite of open source web-based enterprise applications including CRM, Groupware and Data Integration solutions.  The company offers these solutions both on-demand and on-premise, under GPL and Commercial licenses. CodeGlide is currently extending the suite to include ERP, eLearning and a Web-based Business Application builder. The goal is to create a fully-integrated suite including all applications any company or organization might need.",http://www.codeglide.com,"Collaboration, CRM, Data Integration, Enterprise Software, Open Source, Software","San Francisco, California, United States","CodeGlide develops a suite of open source web-based enterprise applications including CRM, groupware and data integration solutions.","1,960,430",,,,,,,,,,,,
HarQen,https://www.crunchbase.com/organization/harqen,2007-05-05,day,1-10,"HarQen unleashes the richness of information trapped inside conversations — transforming voice into actionable insights. Founded in 2007, HarQen's award-winning Intelligent Voice Services enables meetings, interviews and other conversations to be captured, enriched and shared, improving collaboration and productivity.  HarQen is also a founding member of the Hypervoice Consortium.  Hypervoice is an emerging model for organizing and navigating voice conversations.  The technology within Symposia, HarQen's second application, showcases the first example of Hypervoice capabilities for use in enterprise social collaboration.",http://www.harqen.com,"Audio, Big Data, Collaboration, Enterprise Software, Human Resources, SaaS","Milwaukee, Wisconsin, United States","HarQen offers SaaS-based solutions enabling users to securely capture, find, and share the most valuable moments within their conversations.","229,310","145,987","106,627.5",9.86%,40.45%,691,1.56,-11.51%,66.98%,13.97%,"425,157","-12,329",-2.82%
Zaang,https://www.crunchbase.com/organization/zaang,2007-05-15,day,1-10,"Zaang is a place where people can have conversations on a specific topic with people who are like them.  Conversations on Zaang happen in 'Worlds' (those are social gatherings of individuals who come together around a specific topic).  For example, in the 'World of Fishing', fishermen from around the world are telling stories, asking questions and sharing videos from the water. Zaang's business model has both an advertising and e-commerce component to it. The company raised their seed round with angel investors scattered throughout the northeast.",http://www.zaang.com,"Advertising, Collaboration, E-Commerce","Cambridge, Massachusetts, United States",Where conversation happens,"1,885,226",,,,,,,,,,,,
filobite,https://www.crunchbase.com/organization/filobite,2007-05-25,day,1-10,"filobite is an online file-storage and collaboration service for individuals and small-to-medium-sized businesses. Backup, sync and sharing are as simple as dragging-and-dropping files and folders onto our patent-pending 'Drop Zones'.  Working in any modern browser users can: - Get started without any additional software installation - Have file synchronization across any computer with a web-browser. - Automatic file versioning and recovery backed by unlimited cloud storage. This ability to get started quickly makes filobite ideal for casual sharing with friends, freelance collaborations, consulting teams or simply for personal use.",http://www.filobite.com,"Collaboration, File Sharing, Flash Storage, Software, Web Hosting","San Francisco, California, United States","Filobite is an online file storage and collaboration service for individuals and SMEs that provides backup, sync, and sharing options.","1,753,489",,,,,,,,,,,,
Dropbox,https://www.crunchbase.com/organization/dropbox,2007-06-01,day,1001-5000,"Dropbox provides secure file sharing, collaboration, and storage solutions. It aims to unleash the world’s creative energy by designing a more enlightened way of working. 500 million registered users around the world use Dropbox to work the way they want, on any device, wherever they go. Founded in 2007 by Drew Houston and Arash Ferdowsi, Dropbox is headquartered in San Francisco, California. Moreover, the company has more than 12 offices around the world, with locations in San Francisco, Austin, Dublin, Herzliya, London, New York, Paris, Seattle, Sydney, Hamburg, Washington DC, and Tokyo.",http://www.dropbox.com,"Collaboration, Enterprise Software, File Sharing, Private Cloud, Web Hosting","San Francisco, California, United States","Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.",139,"211,659,499","205,059,959.83",-11.3%,0.84%,719,2.06,-1.33%,62.25%,0.53%,457,72,18.7%
Limbic Life,https://www.crunchbase.com/organization/limbic-life,2007-06-01,month,11-50,"Limbic Chair to allow you to sit like you are weightless. To touch and to move you in a way that makes you feel light, free, and happy. They call these movements ‘incentivized movements.‘ designed the Limbic Chair to allow you to sit like you are weightless, using touch and movement in a way that makes you feel light, free, and happy. They call these movements ‘incentivized movements.‘ The incentivized movements create sensations, activating the limbic system of their brain, which translates body inputs like touch and movement, into emotions and mental states. It is also responsible for memory and learning processes, and motivation. This is the reason why being able to focus, learning, and movement are connected. While balancing your spine in a way that you can sit upright effortlessly, the Limbic Chair allows for small, so-called micro movements, which are good for the spine, and gently train your core strength and coordination. The Limbic Chair also gives you the freedom to make larger movements, for additional joy and fun.",http://www.limbic-life.com,"Collaboration, Medical, Neuroscience","Zürich, Zurich, Switzerland",Limbic Chair to allow you to sit like you are weightless.,"1,062,146",200,,,,"8,265",50.5,,0%,,"9,711,660",,
Deolan,https://www.crunchbase.com/organization/deolan,2007-06-07,day,11-50,"Deolan helps make the passenger experience better by connecting the different teams in charge of passenger interactions. Thanks to our plug & play collaborative platform Logbook, ground operations teams can improve their performance and productivity. These plug & play tools based on a freemium business models, mean no IT roadmap or resource drain for implementation.",http://www.deolan.com,"Air Transportation, B2B, Collaboration, Transportation","Bordeaux, Aquitaine, France",Deolan is the collaborative platform for the air transport ecosystem,"150,837",,,,,,,,,,,,
