Organization Name	Organization Name URL	Founded Date	Founded Date Precision	Number of Employees	Full Description	Website	Industries	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	PP URL
eBLVD	https://www.crunchbase.com/organization/eblvd	2001-01-01	year	1-10	Founded in 2001 in San Diego County, CA, eBLVD ([ih-bool-uh-vahrd]) is a privately held pioneer of cloud-based communication software and professional remote access tools. We provide premium web conferencing and remote support solutions to small and mid-sized businesses as well as the world's leading enterprises. Our simple and affordable solutions provide organizations more efficient and cost-effective ways to meet, train, sell, support and market to remote customers, partners and employees.  Leading companies worldwide depend on eBLVD to provide their web conferencing and remote support services. We are proud to be contributing to the success of companies of all sizes and industries around the globe.	http://eBLVD.com	Collaboration, Meeting Software, Public Relations, Training, Video Conferencing	Carlsbad, California, United States	eBLVD is a privately held company of cloud-based communication software and professional remote access tools.	1,297,546													https://www.eblvd.com/privacy-bod.htm
Bellgardt Media Technology	https://www.crunchbase.com/organization/bellgardt-media-technology	2001-01-01	year	11-50		https://bellgardt.de/	Collaboration, Telecommunications, Video Conferencing	Meckenbeuren, Baden-Wurttemberg, Germany	Bellgardt is a media technology firm that specializes in video conferencing, collaboration, video/audio technology, network, and control.	1,365,975													
InPheno	https://www.crunchbase.com/organization/inpheno	2001-01-01	year	1-10	InPheno provides custom antiviral testing services from screening and lead optimisation support, to candidate profiling and mode of action. They strive to be the one-stop solution for your needs in research and profiling of antiviral drug candidates in the field of HIV, hepatitis, and respiratory viruses. InPheno’s laboratories opened in Basel, Switzerland, in 2001 as a spin-off from the Institute of Medical Microbiology, University of Basel, Switzerland. InPheno’s founders and operating team consists of specialists in the fields of virology and oncology with long-term experience in the pharmaceutical industry. Their scientists combine a broad expertise in molecular and cellular assay technology as well as in the development of modern therapeutics.	http://inpheno.com	Biotechnology, Collaboration	Basel, Basel-Stadt, Switzerland	InPheno provides custom antiviral testing services from screening and lead optimisation support, to candidate profiling and mode of action.	1,465,860													
Captimax	https://www.crunchbase.com/organization/captimax	2001-01-01	year	1-10	Captimax Sports Media Ltd was incorporated in 2001 in the UK and since 2008 operates out of Göteborg, Sweden. It owns the intellectual property rights to the Navicam™ technology. Members of the engineering team that originally developed the technology remain available to Captimax as independent consultants. The company is headed by Mario Hytten, whose experience of the sports sponsorship industry led him to develop a business model that benefits the entire value-chain of a sports property. Captimax has a non-exclusive contract with Planetaire AB to use Navicam in the TV production of its projected aerial speed competitions, the Skyrace World Cup. Captimax is actively seeking other forms of collaboration with operators within the sports industry.	https://www.captimax.com	Collaboration, Industrial, Sports	Landvetter, Vastra Gotaland, Sweden	Captimax is actively seeking other forms of collaboration with operators within the sports industry.	1,862,813													
The VideoConference Store	https://www.crunchbase.com/organization/the-videoconference-store	2001-01-01	year	1-10		https://videoconferencestore.com/	Audio, Collaboration, Telecommunications, Video, Video Conferencing	Aurora, Colorado, United States	The VideoConference Store has been providing video collaboration solutions to customers worldwide since 2001.	1,895,482													
Digital Connectivity Forum	https://www.crunchbase.com/organization/digital-connectivity-forum	2001-01-01	year	1-10		https://www.connectivityuk.org/	Advice, Collaboration, Digital Media, Professional Services, Telecommunications	London, England, United Kingdom	Digital Connectivity Forum is an advisory group that focuses on digital connectivity, societal change, and economic growth.	2,018,130													https://www.connectivityuk.org/privacy-policy/
Momentum	https://www.crunchbase.com/organization/momentum-ca86	2001-01-01	year	501-1000	Momentum Telecom is a business phone and internet service, provider. It functions as a human connection through developing, streamlining, and integrating cloud voice and cloud-based applications in order to enable others to thrive. It is offering wholesale cloud voice solutions and telephone systems for businesses.	https://momentumtelecom.com	Collaboration, Telecommunications, Unified Communications, Wholesale	Georgia, Louisiana, United States	Momentum operates to develops, streamlines, and integrates technology to help businesses better.	2,028,440													https://momentumtelecom.com/privacy-policy/
Jive Software	https://www.crunchbase.com/organization/jive-software	2001-02-07	day	501-1000	Jive is the largest and fastest growing independent vendor in the Social Business Software market. Jive allows companies to engage employees, customers, and the social web.  Just as social technologies have changed their personal lives, Social Business is changing how enterprises get work done.  The company was founded in 2001, with its headquarters in Palo Alto, CA and offices in Portland, OR; Boulder, CO; Brentford, United Kingdom; and Frankfurt, Germany. Jive combines the power of community software, collaboration software, social networking software, and social media monitoring offerings into an integrated platform. The flagship product is [Jive Engage](http://www.jivesoftware.com/products). Previous products by Jive include [Clearspace](http://www.jivesoftware.com/beyond/clearspace), [Jive Forums](http://www.jivesoftware.com/beyond/forums), and the now open source [Openfire](http://www.igniterealtime.org) & [Spark](http://www.igniterealtime.org/projects/spark/index.jsp).  The company is focused on solutions to increase team and work productivity. Jive makes it easy for groups to brainstorm, share ideas and see what everyone is working on. The product includes team member blogs, wiki-docs for group editing and discussion tools. Recent versions include video, analytics, and social media monitoring. Jive also helps companies like Intel create highly-interactive online communities. Intel created [Open Port](http://communities.intel.com/openport/index.jspa) so their product and technology experts could communicate directly with the greater IT community. Other Jive customers include VMware, National Instruments, NetApp, SAP, Embarq, ManTech, Linden Lab and [many others](http://www.jivesoftware.com/customers). Jive is backed by [Sequoia Capital](/financial-organization/sequoia-capital) and [KPCB](/financial-organization/kleiner-perkins-caufield-byers).	http://www.jivesoftware.com	Collaboration, Developer Tools, Enterprise Software, Internet, SaaS, Social Media, Software, Web Development	Palo Alto, California, United States	Jive Software operates as an independent social business software vendor.	34,453	11,491	13,756.5	29.93%	257.14%	25	1.62	19.36%	81.75%	13.18%	2,079,171	-251,389	-10.79%	https://www.jivesoftware.com/legal/privacy-policy/
Axigen	https://www.crunchbase.com/organization/gecad-technologies	2001-02-15	day	51-100	Axigen is an integrated email, calendaring and collaboration platform, masterfully built on our unique Linux mail server technology, for increased speed and security.  The Axigen messaging platform is available in three solutions, all tailored to customer needs:  - Axigen Business Messaging The full benefits of email communication & collaboration, integrated in a smart & secure solution based on a powerful mail server  for business.  - Axigen Service Providers Messaging Multi-tenant messaging for SPs looking to host hundreds to millions of business-level email users, based on a powerful mail server for ISP. - Axigen Free Mail Server The Axigen Free Mail Server is a great alternative to open source: it is a turnkey messaging solution with an amazing number of free email users.  Currently, AXIGEN is distributed internationally by over 200 partners from 100 countries and manages email traffic for more than 11,000 companies with 6 million end-users.	http://www.axigen.com	Collaboration, Email, Enterprise Software, Linux, Messaging, Software	Bucharest, Bucuresti, Romania	Axigen focuses on the development & distribution of innovative messaging solutions.	364,371	24,619	49,194.83	-85%	-61.55%	223	1.7	-41.27%	63.81%	24.85%	1,354,504	975,737	257.61%	https://www.axigen.com/legal/privacy-policy/
Cynapse	https://www.crunchbase.com/organization/cynapse	2001-04-09	day	11-50	Headquartered in Mumbai, India, Cynapse invents software products that benefit fundamental aspects of everyday life.  Its mission is to evolve the way people create, consume and communicate various forms of information.  Cynapse is the creator of open source Enterprise 2.0 software Cyn.in, provider of the realtime collaboration software Sync.in and inventor of Localscope for the iOS and the WebOS platforms.	http://www.cynapse.com	Collaboration, Document Management, Enterprise Software, iOS, Messaging, Open Source, Software	Mumbai, Maharashtra, India	Headquartered in Mumbai, India, Cynapse invents software products that benefit fundamental aspects of everyday life.	261,561	2,332	2,378.5	-33.1%	-3.51%	55	5.49	137.41%	16.34%	-68.06%	4,829,474	876,194	22.16%	
SuccessFactors	https://www.crunchbase.com/organization/successfactors	2001-05-01	day	10001+	People are the heartbeat of every organization and great business results start with great people. When people are all-in, feeling supported, trained, rewarded and motivated, they do what it takes to win. As the leading cloud-based HCM Suite, SAP SuccessFactors helps more than 6,000+ customers, and 45+ million cloud application subscribers, across more than 60 industries in over 177 countries, tap into this heartbeat. Supported by a global partner ecosystem and the experience and commitment of SAP, our solutions are innovative yet delivered according to your specific business needs. Through a balanced focus on both standardization and flexibility, we deliver business process expertise and best practice guidance aligned to our customers’ unique transformation journeys. Aligning business strategy to business outcomes through people is what we focus on day in and day out, what we have been helping our customers do for over 10 years and where we will be focused in the future. We believe Success is Simply Human.	https://www.sap.com/products/human-resources-hcm.html?src=sfsf&btp=40ce4e58-0f29-41b8-9171-2cc91e16c2bf	Career Planning, Collaboration, Enterprise Software, Recruiting, Software	South San Francisco, California, United States	SuccessFactors provides cloud-based human capital management software solutions for business execution.	122,067													
Red Oxygen	https://www.crunchbase.com/organization/red-oxygen	2001-07-01	day	11-50	Based in San Francisco, Red Oxygen is an SMS texting solutions provider for a busy world, enabling businesses and organizations to communicate via texting more quickly, efficiently and effectively.  We have out-of-the-box solutions that work how and where you do, no developer needed—through Outlook, Gmail, in bulk from a spreadsheet, with an API or through any browser. Allowing you more time to focus on the business side of your business while keeping your staff and customers informed, engaged and coming back. We offer revenue sharing with software developers who are looking to integrate SMS capabilities into their software but don't want to deal with the hassle of billing or technical support. With our standard API or with the help from our development team we can customize the API to your requirements, you can add value for your customers and profit in your pocket. Send the SMS from your computer to a mobile device, replies will be sent back to you as emails to be stored or tracked as you would any other email. Send in bulk, or one at a time, enterprise-wide communications, staff communications, alerts, notifications, appointment reminders, the possibilities are endless…all from your computer.  Red Oxygen is dedicated to extraordinary customer service, with branch locations in the US, Canada, Australia, and the UK. As trusted experts in the field of global messaging, we have supported over 300,000 users in 50+ countries, with clients ranging from local nonprofits to Fortune 100 multinationals, and more than 400 million messages delivered and counting. Start a free trial today—www.redoxygen.com/free-trial	https://www.redoxygen.com	Collaboration, Enterprise Software, Information and Communications Technology (ICT), Messaging, Mobile, SaaS, SMS	San Francisco, California, United States	Red Oxygen is a business SMS solutions provider. We focus on developer partnerships and our custom off-the-shelf solutions.	199,022	10,659	10,293	394.62%	900%	10	1.2	7.01%	79.79%	-14.96%	2,161,962	-2,686,322	-55.41%	
Conference Call Notes	https://www.crunchbase.com/organization/conferencecallnotes	2001-08-01	day	1-10	"ConferenceCallNotes.com is a tool that allows people to collaborate on the notes that are taken during a conference call.  The host sets up the conference by keying in an agenda of topics.  The host then selects the people to be sent email invitations from a comprehensive list of contacts they have previously entered.  The host specifies some custom message and the site sends an email with the host's message and conference date and time, agenda, other people invited and a link to the site.  Once the discussion is taking place people can key in their comments under each agenda item.  At the end of the call a pdf version of the notes can be printed out or emailed.  At the host's discretion, the online notes can be kept ""alive"" for days after the call so that people can continue to add and refine their thoughts. The service was produced by Pilot Light Software."	http://conferencecallnotes.com	Collaboration, Events, Meeting Software	Austin, Texas, United States	ConferenceCallNotes.com is a tool that allows people to collaborate on the notes that are taken during a conference call.	2,133,513													
Six Apart	https://www.crunchbase.com/organization/six-apart	2001-09-01	day	11-50	Six Apart was formed in 2001 as a blog solution provider in the US. In 2003 the company founded Six Apart KK, a Japanese legal entity. In November 2010, Six Apart joined forces with VideoEgg to create a new company called SAY Media. In January 2011, Six Apart KK was wholly acquired by Infocom, a Japanese IT company listed on the Tokyo Stock Exchange. Six Apart KK has assumed responsibility over all intellectual property and business operations of Movable Type, as well as trademark rights of Six Apart. The new Six Apart, a Japanese corporation formerly known as Six Apart KK, currently develops, markets and supports Movable Type for a global user base, and also operates the [company's website]  (www.sixapart.com). TypePad and blogs.com are now available from SAY Media. For information on these services, please visit [SAY Media](http://www.saymedia.com/)'s website.	http://www.sixapart.com	Blogging Platforms, Collaboration, Enterprise Software, Internet, News, Publishing, Software	New York, New York, United States	Six Apart is a software company best known for creating the Movable Type blogware, TypePad blog hosting service, and Vox.	249,127													https://www.sixapart.com/privacy/
Phase2	https://www.crunchbase.com/organization/phase2-technology	2001-10-31	day	101-250	Phase2 is one of the most trusted digital agencies focused on open technology. Organizations like the Department of Energy, Red Hat, Harvard Business School, NBCUniversal and the Robin Hood Foundation use Phase2’s integrated web products and systems to transform the way their users experience content and their teams work together.  Founded in 2001, Phase2 designs and builds the world’s most powerful content systems, collaboration solutions, and interactive experiences. Phase2 is headquartered in Alexandria, VA, and has offices in New York, San Francisco, and Portland. For more about Phase2, visit http://www.phase2technology.com.	http://www.phase2technology.com	Cloud Management, Collaboration, Data Integration, Data Visualization, Developer APIs, Infrastructure, Open Source, Web Development	Alexandria, Virginia, United States	Phase2 is a digital agency whose work unlock the potential for anyone, anywhere to engage with the world's most impactful organizations	170,599	14,710	24,417	54.08%	6.12%	52	1.74	-20.8%	70.27%	12.83%	1,802,140	-432,404	-19.35%	https://www.phase2technology.com/privacy-policy
Punto Com	https://www.crunchbase.com/organization/punto-com-cade	2001-11-19	day	11-50		http://www.puntocomgroup.com	Cloud Data Services, Collaboration, IT Infrastructure, Software	Cazzago San Martino, Lombardia, Italy	Punto Com works on IT solutions such as IT infrastructure, security, cloud solutions, MES systems, connectivity as well as collaboration.	1,553,823	736		-18.22%		0	1.0	0%	100%	0%	7,523,310	406,666	5.71%	https://www.puntocomgroup.com/privacy-policy/
CallTower Inc	https://www.crunchbase.com/organization/calltower-inc	2002-01-01	year	51-100	Since its inception in 2002, CallTower has built its service based on best-of-breed technologies from the leading providers in the communications industry,  including Cisco® (Cisco Unified Communications Manager) and Microsoft® (Skype for Business, Lync, Exchange Server, SharePoint and Dynamics), and integrating their voice offering through CallTower’s proprietary vXML Voice Cube voice messaging platform. CallTower's entire offering is easily provisioned and maintained via calltower:connect. With CallTower’s On Demand Unified Communications Solution, smaller, growing businesses with multiple offices can achieve the benefits and class of service traditionally reserved for enterprises.	http://www.calltower.com/	Collaboration, Messaging, Telecommunications	South Jordan, Utah, United States	CallTower is a leader of Corporate Communications.	131,108	42,009	40,392.33	-7.06%	37.9%	2,485	18.11	105.61%	43.36%	16.28%	965,069	67,138	7.48%	https://www.calltower.com/resources-training/website-privacy-policy/
Gehry Technologies	https://www.crunchbase.com/organization/gehry-technologies	2002-01-01	year	51-100	Gehry Technologies is an AEC technology company, providing web-based 3D project collaboration, building information modeling, and advanced project delivery services. Its client base consists of international architects, engineers, contractors, and owners working across the globe. Gehry Technologies supports the adoption of BIM technology and processes through project based services, allowing teams to advance their use of critical systems while meeting project schedules. It provides training and knowledge transfer as part of every engagement. Its team includes architects, engineers, builders, computer scientists, and management consultants. Gehry Technologies was founded in 2002 ans is headquartered in Los Angeles, C.A.	http://www.gehrytech.com	3D Technology, Architecture, Collaboration, Web Hosting	Los Angeles, California, United States	Gehry Technologies is an AEC technology company, providing web-based 3D project collaboration, building information modeling, and more.	157,145													
ReadyTalk	https://www.crunchbase.com/organization/readytalk	2002-01-01	year	251-500	ReadyTalk provides a range of communication products and solutions to its clients. ReadyTalk's range of solutions consist of web conferencing, audio conferencing, video collaboration, mobile conferencing, recording and archiving, integrations, meetings and conferences, webinars, webcasts, and hosted voice. ReadyTalk was founded in 2002 by Dan and Scott King and is based in Colorado.	http://www.readytalk.com	Collaboration, Information Technology, Meeting Software, Social Media, Software, Telecommunications, Video, Video Conferencing	Denver, Colorado, United States	ReadyTalk provides audio and web conferencing services.	199,418	9,772	6,662.17	116.1%	-41.08%	0	1.08	-62.34%	91.82%	109.54%	2,259,038	-1,304,176	-36.6%	https://www.readytalk.com/privacy-statement
Legra Systems	https://www.crunchbase.com/organization/legra-systems-inc	2002-01-01	year	1-10	To deliver enterprises a wireless LAN experience that is most like a wired network with the first extensible, secure wireless switching platform. The Legra solution is the easiest to deploy and integrate with existing networks and is architected to evolve with the enterprise. Legra Systems is a privately held company with investments from Kodiak Venture Partners and Genesis Partners. Legra Systems has raised $8.5 million in funding to date. Legra’s enterprise wireless switching solution consists of the Legra Switch, Legra Radio and Legra Manager which easily integrate into existing enterprise infrastructures. Legra Systems, Inc. provides solutions to large enterprise customers in a wide variety of markets, including education, software, financial, healthcare, manufacturing and service industries.		Collaboration, Compliance, Enterprise Software, Infrastructure, Project Management, Wireless	Burlington, Massachusetts, United States	Legra Systems, Inc. has created a WLAN switching platform to seamlessly integrate with existing enterprise infrastructures.	210,404													
Intentional Software	https://www.crunchbase.com/organization/intentional-software	2002-01-01	year	51-100	Intentional Software Corporation’s mission is to make the world’s knowledge more accessible and useful. They are creating the next generation of knowledge work by combining knowledge processing with group productivity. Their focus is to improve productivity and accelerate innovation by empowering knowledge workers to work more effectively with software programmers.	http://www.intentional.com	Collaboration, Productivity Tools, Software	Bellevue, Washington, United States	Intentional Software Corporation’s mission is to make the world’s knowledge more accessible and useful.	279,817	1				0	1.0		100%		10,927,292			
6th Street Consulting	https://www.crunchbase.com/organization/6th-street-consulting	2002-01-01	day	11-50		https://www.6sc.com/	Collaboration, Management Consulting	Redondo Beach, California, United States	6th Street Consulting is specializing in user productivity and collaboration in SharePoint & Office 365.	325,658	740		-87.42%		0	1.0	-75%	100%		7,517,432	4,549,839	153.32%	https://www.6sc.com/privacy-policy/
iSpace Environments	https://www.crunchbase.com/organization/mspace	2002-01-01	year	11-50	iSpace Furniture, Inc. is an office furniture, planning, and installation company in the United States.	http://www.ispaceenvironments.com/about-us/	Collaboration, Enterprise Software, Telecommunications	Minneapolis, Minnesota, United States	iSpace Environments is an office furniture, planning, and installation company in the United States.	367,694	1,546		-6.47%		1,337	8.0	700%	0%		6,102,610	784,033	14.74%	
Taxi Studio	https://www.crunchbase.com/organization/taxi-studio	2002-01-01	day	101-250		http://www.taxistudio.co.uk/	Brand Marketing, Collaboration	Bristol, Bristol, City of, United Kingdom	Taxi Studio Ltd. is a brand design agency that Courage & Collaboration delivers true success.	403,394	1,368	2,833.83	-79.39%	-94.5%	6	1.92	-34.04%	22.51%	-23.8%	6,438,833	3,720,250	136.85%	
Designtech Solutions	https://www.crunchbase.com/organization/designtech-solutions	2002-01-01	year	11-50	Designtech Solutions deliver web-based solutions for effective and secure information handling for companies, organizations and governmental institutions in the global market.  Based out of Luleå, Sweden, Designtech’s innovative web-based collaboration solutions are used in a wide variety of industries across the globe, from corporate organizations to governmental institutes. Designtech specializes in four major areas; project management, document Management, resource management and collaboration. Designtech's flagship product is called iCoordinator™. This web-based project management and collaboration software assist organisations to manage their projects & resources effectively with high degree of security and collaboration capabilities. iCoordinator™ covers a wide variety of areas including project management, document management, task management, income and expense tracking, time tracking, contact and resource management. With the unique concept of Lobby and workspaces, iCoordinator™ focuses on effective project planning, active collaboration between participants, optimal resource utilization, secure document handing, accurate time tracking, control over costs and collaborative task management. With add-on application for Desktop and Mobile, iCoordinator™  extends the usability and provide anytime, anywhere access to users. iCoordinator™ Free is the free version of the solution and users can create thier online portal within minutes the online registration. You can read more about it here http://icoordinator.com/en/blog/Free-Project-Management-Software	http://www.designtech.se	Collaboration, Document Management, Web Design, Web Hosting	Luleå, Norrbottens Lan, Sweden	Designtech Solutions deliver web-based project, resource & document management solutions.	486,392													
Telcion	https://www.crunchbase.com/organization/telcion	2002-01-01	day	11-50		https://www.telcion.com/	Collaboration, Information Technology, Physical Security, Security	Turlock, California, United States	Telcion renders IT solutions such as networking, security, structured cabling, physical security, collaboration and calling to companies.	544,275	1,560		-79.37%		0	1.0	-62.5%	100%	49.99%	6,079,729	3,559,638	141.25%	
Kerika	https://www.crunchbase.com/organization/kerika	2002-01-01	year	1-10	Kerika is work management for remote teams: it combines task management, content management, chat, and workflows in a very accessible UX that runs on any browser, on any device. The software is currently being used in most countries, with users ranging from large government agencies down to classrooms of middle-school kids. Unlike tools like JIRA, Kerika is easy for the most non-technical teams to adopt; unlike tools like Trello, Kerika can scale up to handle the needs of large organizations; unlike tools like Asana, Kerika makes it easy for teams to adopt any kind of workflow or methodology, including Kanban and Scrum. Kerika works seamlessly with both Google Apps and Box Enterprise: you can sign up with your Google or Box ID, and have all your project files stored in your own Google/Box account, where they can be managed accordingly to your enterprise-wide content management policies.  There's no software to install: Kerika is a pure Web App that will run in any browser. Individuals and small nonprofit teams can use Kerika free; for enterprise users the pricing is simple and affordable: $7 per user per month gives you unlimited use.	https://kerika.com	Apps, B2B, Collaboration, Enterprise Software, Project Management, SaaS, Software, Task Management, Web Apps	Issaquah, Washington, United States	Kerika is work management for remote teams.	580,103	2,114	7,624.5	-79.21%	1,224.29%	3,271	9.25	311.65%	25.02%	-61.54%	4,984,607	2,820,453	130.33%	https://kerika.com/en/privacy-policy.html
C5 Insight	https://www.crunchbase.com/organization/c5-insight	2002-01-01	year	11-50	C5 Insight is a leading provider of business intelligence, collaboration, document management, application development, extended relationship management (XRM) and customer relationship management (CRM). Created through a merger of Customer Connect and StreamLogic, C5 Insight focuses on delivering cloud applications developed in SharePoint, Microsoft CRM, Salesforce.com and .NET.	http://www.c5insight.com	Business Intelligence, Collaboration, Consulting, CRM, Software, Web Development	Charlotte, North Carolina, United States	SharePoint, Dynamics CRM, Salesforce.com	627,151	17,813	14,041.83	15.69%	1,069.23%	152	1.7	62.24%	81.13%	-14.54%	1,617,561	-97,151	-5.67%	
XOP Networks	https://www.crunchbase.com/organization/xop-networks	2002-01-01	year	11-50	XOP Networks provides audio, video, and web conferencing equipment.  Headquartered in Dallas, Texas, XOP Networks was founded in 2002 and is backed by a seasoned management team. Deployed at multiple Fortune 100 companies, CLEC/IOC customers, Government organizations, DoD networks (Air Force, Army and Navy) XOP Networks’ products allow customers to improve employee productivity,increase business efficiency and enhance emergency communications. Having both legacy and VoIP interfaces,XOP products allow customers to seamlessly transition their value added services from legacy circuit switched networks to VoIP based packet switched networks.	http://www.xopnetworks.com	Collaboration, Enterprise Software	Dallas, Texas, United States	XOP Networks is a telecommunications value added services equipment manufacturer backed by a seasoned management team.	650,500													
MH2	https://www.crunchbase.com/organization/mh2	2002-01-01	year	11-50		https://mh2law.com/	Collaboration, Consulting, Innovation Management, Intellectual Property, Legal	Virginia, Nebraska, United States	MH2 provides intellectual property services that focuses on patent acquisition, licensing, and enforcement.	1,020,640													
GroveSite	https://www.crunchbase.com/organization/grovesite	2002-01-01	year	1-10	GroveSite is a leading provider of online collaboration and online database software.  Many companies worldwide use GroveSite to better collaborate and more easily manage projects.  GroveSite is an easy and affordable SharePoint alternative and is essential for creating easy-to-use intranets, extranets, consulting ports and online relational databases.  GroveSite can aid in online collaboration, project management, issue tracking, and document management.  Follow the official GroveSite blog at blogs.grovesite.com, which shares information on how to use online collaboration and online database software.  Here you will find useful tips, advice and examples for business users.  The blog also includes industry news, a client showcase, and a new online collaboration software series.	http://www.grovesite.com/	Collaboration, Project Management, Software	Phoenix, Arizona, United States	Online Collaboration & Online Database	1,122,323	1,414				5	2.0		0%		6,353,735			https://www.grovesite.com/privacy.aspx
Limehouse Software	https://www.crunchbase.com/organization/limehouse-software	2002-01-01	year	11-50	Limehouse Software develops software solutions that unite three key functions - collaboration, document publishing, and consultation. Our solutions provide an integrated collaborative environment to develop policies and strategies; provide unified workspace, publishing and delivery services; and facilitate the involvement of stakeholders through real-time collaboration and consultation with communities. We help over 250 organizations unify information and communication; accelerate the business processes people are involved in; better engage with virtual teams; and encourage socialization among employees, partner organizations and citizens.	http://www.limehousesoftware.co.uk/	Collaboration, Consulting, Publishing, Software	Maidenhead, Windsor and Maidenhead, United Kingdom	Limehouse Software develops software solutions that unite three key functions - collaboration, document publishing, and consultation.	1,219,935													
Insyte Partners	https://www.crunchbase.com/organization/insyte-partners	2002-01-01	year	1-10		https://insytepartners.com	Business Development, Collaboration, Consulting	Villanova, Pennsylvania, United States	Insyte Partners provides strategic planning, leadership development, and culture co-creation services to help organizations transform.	1,473,365													
Public.Class	https://www.crunchbase.com/organization/public-class	2002-01-01	year	101-250	Public. Class is a software consultancy based in London.  They specialize in messaging and collaboration through mobile technologies.  Founded in 2002, the company produces two leading products and serves customers in 25 countries. They embrace their clients, look after them well, and maintain long-term relationships. They know that good service is critical in the fiercely competitive business world.  They provide consulting services and develop software. They truly set themselves apart by providing high-quality, fast service.  Platforms and methods are always evolving, so they use the latest technology.	https://www.publicclass.com/	Collaboration, Messaging, Mobile, Software, Technical Support, Web Development	London, England, United Kingdom	Public.Class is a software consultancy that specializes in messaging and collaboration technologies for mobile devices.	1,586,293													
Daniel Hanley Center for Health Leadership	https://www.crunchbase.com/organization/daniel-hanley-center-for-health-leadership	2002-01-01	year	1-10		https://www.hanleyleadership.org	Collaboration, Health Care, Non Profit	Portland, Maine, United States	Daniel Hanley Center for Health Leadership improves health and healthcare delivery through leadership and collaboration.	1,829,114	4,954				74	5.0		0%		3,454,310			https://www.hanleyleadership.org/privacy-policy/
Fischer IT	https://www.crunchbase.com/organization/fischer-it	2002-01-01	year	1-10		https://www.fischer-ict.ch	Collaboration, Information and Communications Technology (ICT), Information Technology, Telecommunications, Unified Communications	Adelboden, Bern, Switzerland	Fischer IT is an ICT company that specializes in network infrastructure, project, programmed, and process management.	2,051,715													
CoolBeansLive	https://www.crunchbase.com/organization/coolbeanslive	2002-01-01	year	1-10	CoolBeansLive is a 100% web based collaboration software suite, accessible from anywhere, and provides an onDemand or onPremise solution to managing your organization's data and content.	http://www.coolbeanslive.com	Collaboration, SaaS, Software	Alexandria, Virginia, United States	CoolBeansLive is a web based collaboration software suite.	2,222,902													
Abitronix	https://www.crunchbase.com/organization/abitronix	2002-02-14	day	11-50	Global provider delivering the latest Unified Communication & Collaboration products and solutions for Information Communication and Technology needs since 2002. Our solutions include products, consultation, design, installation as well as low voltage structured cabling for anything related to VOICE, DATA. AUDIO, VIDEO, WIRELESS and SURVEILLANCE. An MBE/SBE & DBE Certified Company with an International footprint that today extends to over 43 countries in 6 different continents!	http://www.abitronix.com	Collaboration, Information and Communications Technology (ICT), Information Technology, Software, Telecommunications, Unified Communications	Flanders, New Jersey, United States	Global provider delivering the latest Unified Communication & Collaboration products and solutions since 2002.  MBE, DBE Certified Company	731,449													https://www.abitronix.com/terms-conditions
4PSA	https://www.crunchbase.com/organization/4psa	2002-02-18	day	1-10	4PSA is a provider of unified communications software for the cloud that allows its clients to communicate better. It offers real-time communication and collaboration services in the cloud. 4PSA has also engineered technology that enables service providers to deliver cloud services, including automation, enterprise PBX, voice, video, instant messaging, and mobility. It was launched in 2002 and is based in Bucharest, Bucuresti.	http://www.4psa.com	Cloud Computing, Collaboration, Enterprise Software, Messaging, Software, Telecommunications, Web Hosting	Bucharest, Bucuresti, Romania	4PSA is a provider of unified communications software for the cloud that allows its clients to communicate better.	670,533	875	4,195	-66.01%	-98.28%	3	1.36	-62.17%	84.69%	24.53%	7,194,188	2,661,419	58.72%	https://www.4psa.com/company-recruitment_privacypolicy.html
Decision Lens	https://www.crunchbase.com/organization/decision-lens	2002-03-01	day	51-100	Decision Lens allows the government to act faster, fund smarter, and innovate at scale.  Decision Lens develops integrated planning software which modernizes how government prioritizes, plans, and funds. We have been transforming public sector planning, delivering the people, process and technology which empower agencies to effectively meet the needs of today while delivering the cutting-edge capabilities of tomorrow. Customers across the Department of Defense, intelligence community, federal civilian agencies and state and local government achieve a sustained operational advantage through superior long-term planning, continuous medium-term prioritization, and short-term funding execution.	http://decisionlens.com	Collaboration, Real Time, Software	Arlington, Virginia, United States	Decision Lens develops integrated planning software which modernizes how government prioritizes, plans, and funds.	41,397	4,339	3,656.83	4.43%	42.37%	0	1.0	0%	100%	0%	3,644,291	-41,982	-1.14%	https://www.decisionlens.com/privacy-policy
